"tipo_producto","marca","nombre_comercial","denominacion_venta","rnpa",""
"4","Body Vida","No registra","Galleta de arroz yamaní integral rellena con mousse de dulce de leche con cobertura de chocolate - Libre de gluten ","02-568426",""
"6","Vital infantil 1","No registra","Fórmula láctea de inicio en polvo, para lactantes desde el nacimiento hasta los 6 meses de edad. Libre de gluten - Sin TACC ","02-508664",""
"10","Pleny frutilla light - Barra de cereal","No registra","Alimento a base de cereales cubierto con baño de repostería fantasía yogur light sabor frutilla, sin azúcar agregado, libre de gluten","02-590773",""
"11","La Serenísima - Junior","No registra","Alimento a base de leche parcialmente descremada baja en lactosa fortificada con calcio, homogeneizada, UAT, fortificado con hierro, zinc, vitaminas A, D, B2, B9 y C sabor chocolate blanco, libre de gluten","02-566245",""
"13","Ades Light","No registra","Alimento de soja líquido bajas calorías con jugo de manzana fortificado con vitaminas C, B1, B2, B3, B6 y zinc - Libre de gluten","02-578677",""
"20","Pleny - Granola frutas patagónicas","No registra","Alimento a base de cereales, semillas integrales y arándanos, sin azúcar agregado - Libre de gluten","02-588716",""
"21","Solazteca","No registra","Mezcla de semillas de lino, sésamo y chía- Libre de gluten","02-592919",""
"24","Pérgola ","No registra","Albahaca deshidratada - Libre de gluten","02-573040",""
"33","Arro - Cero - Galleta de arroz integral","No registra","Alimento a base de arroz yamaní sin sal agregada, libre de gluten ","02-584806 ",""
"36","Argenlac","No registra","Leche parcialmente descremada ultrapasteurizada homogeneizado, fortificado con vitaminas A y D - Libre de gluten - Sin TACC ","02-570396",""
"36","La Suipachense","No registra","Leche parcialmente descremada seleccionada ultrapasteurizada fortificada con vitaminas A, D y C. Libre de gluten - Sin TACC","02-523229",""
"40","Vacalin","No registra","Manteca calidad extra - Libre de gluten","02-516464",""
"43","Tante Gretty","No registra","Producto a base de harina de arroz tipo pan dulce libre de gluten","02-554132",""
"45","Cremolatti","No registra","Helado de agua de frambuesa - Libre de gluten","02-562285",""
"45","Nestlé - Frigor - Torpedo","No registra","Helado de agua sabor limón. Libre de gluten","02-586780 ",""
"45","Vacalin ","No registra","Crema helada de chocolate - Libre de gluten","02-581103",""
"48","Emeth","No registra","Polvo para preparar postre de gelatina dietética de contenido glucídico reducido sabor a naranja fortificado con vitamina C - Libre de gluten","02-583964",""
"48","Gelato S.A.","No registra","Mezcla fluida para preparar helado de dulce de leche - Libre de gluten","02-514343",""
"49","Finlandia - La Serenísima","No registra","Queso procesado untable dietético, reducido en calorías, libre de gluten","02-590124",""
"49","La Serenísima - Finlandia ","No registra","Queso procesado untable - Libre de gluten ","02-509913",""
"51","Granja Iris","No registra","Mayonesa dietética de reducido valor lipídico, reducida en calorías - Libre de gluten ","02-508685",""
"53","Saint Gottard Flexil","No registra","Suplemento dietario a base de glucosamina - Libre de gluten","02-565166",""
"56","Bodyvida","No registra","Yogur endulzado parcialmente descremado fortificado con vitaminas A y D, sabor a vainilla. Libre de gluten ","02-581694",""
"56","Ser","No registra","Yogur dietético edulcorado descremado de bajo valor glucídico fortificado con zinc y vitaminas A, D, B9 y E sabor a frutos del bosque - Libre de gluten","02-555379",""
"12","No registra","HD Happy Drink - Ice Vodka Maracuyá","Cóctel gasificado a base de vodka sabor a maracuyá - Libre de gluten","01-046363",""
"33","Ciudad Madre","Galletitas familiares con queso parmesano","Galletitas con queso parmesano - Libre de gluten ","1044339",""
"47","La Delfina ","Cuadradito de coco y dulce de leche","Cuadradito de masa con dulce de leche y coco rallado libre de gluten sin TACC","1042227",""
"53","Chiafresh","No registra","Suplemento dietario con omega 3, bebible. Libre de gluten","1045402",""
"53","No registra","Whey Protein Premium Vainilla","Suplemento dietario a base de concentrado de proteínas de suero lacteo, L-glutamina, L-leucina, L-valina, y L-isoleucina sabor a vainilla en polvo. Libre de gluten","1046401",""
"27","Canale","No registra","Conserva de garbanzos secos remojados libre de gluten","03003589-5",""
"2","Jamer","Soft Jamer","Polvo para preparar helado sabor a dulce de leche libre de gluten ","4061562",""
"18","Mr. Monkey Flynn Paff de Georgalos","Terror","Caramelos masticables con sabor a naranja y frambuesa. Libre de gluten","4061833",""
"27","Vanoli","No registra","Aceitunas verdes rellenas con pimientos morrones en salmuera libre de gluten ","4058629",""
"33","Arte Gourmet","No registra","Galleta dulce de dulce de leche - Libre de gluten","4062082",""
"33","Grandiet","Celinas","Galletitas dulces de harina de arroz sabor a vainilla - Libre de gluten ","36-04051944",""
"36","Primer Precio","No registra","Leche entera esterilizada por UAT, homogeneizada, fortificada con vitaminas A y D, larga vida. Libre de gluten","4063482",""
"42","Cittadella","No registra","Dulce de membrillo libre de gluten sin TACC ","4057750",""
"42","Orieta","No registra","Mermelada de ciruela - Libre de gluten ","4051190",""
"45","Sublime","No registra","Postre sabor a chocolate con salsa sabor almendras y avellanas - Libre de gluten ","4057339",""
"49","La Paulina","No registra","Queso provolone - Libre de gluten ","4028572",""
"49","Punta del Agua","No registra","Queso fynbo libre de gluten ","4061708",""
"51","Vanoli","Aderezo para ensaladas clásico","Salsa a base de vinagre de alcohol libre de gluten ","4058694",""
"56","La Serenísima Yogurísimo","No registra","Yogur parcialmente descremado endulzado sabor a frutilla fortificado con vitaminas A, B12 y D - Libre de gluten ","4060817",""
"56","Sancor Yogs","No registra","Yogur endulzado entero sabor frutilla fortificado con hierro - Libre de gluten ","4057308",""
"54","Taragüí Placeres","No registra","Té negro en saquitos sabor vainilla, libre de gluten ","5003683",""
"21","Dos Hermanos","No registra","Arroz pulido tipo largo ancho (doble carolina) calidad 00000 libre de gluten","025/080000604-3-7/008",""
"33","Vea","No registra","Galletas de arroz integral con sal libre de gluten","025/08002983/010",""
"45","Cotagú","No registra","Postre sabor a vainilla libre de gluten","025/080000523/067",""
"51","Chacras del Chañar ","Chacras del Chañar","Aderezo agridulce a base de frambuesa libre de gluten ","025/08002272/107",""
"6","Sancor Bebé - A.R.","No registra","Fórmula láctea en polvo para lactantes con ácidos grasos poliinsaturados de cadena larga, nucleótidos y fibra. Libre de gluten ","790062",""
"8","Fresenius Kabi S.A. ","Fresubin Energy Drink - Sabor vainilla","Alimento para propósitos médicos específicos líquido, a base de carbohidratos, proteínas, lípidos, vitaminas y minerales, para niños mayores de 1 año y adultos. Libre de gluten","560035",""
"16","Nescafé Dolce Gusto","Vanilla Latte Macchiato","Café tostado y molido y leche con azúcar sabor a vainilla en cápsulas. Libre de gluten","620679",""
"23","Simplot ","No registra","Papas prefritas supercongeladas - Libres de gluten","660004",""
"53","Polenéctar","No registra","Propóleos al 60% en solución hidroalcohólica de etanol. Libre de gluten","270003",""
"51","La Toscana","No registra","Aderezo a base de aceite de oliva extra virgen saborizado con mandarina - Libre de gluten","12006531",""
"21","No registra","Manto Sagrado","Premezcla - Libre de gluten","13029402",""
"26","Ciudad del Lago","Cóctel de frutas","Cóctel de cuatro frutas grado común en jarabe diluido - Libre de gluten","13032169",""
"26","Inca","No registra","Duraznos amarillos en mitades comunes en jarabe diluido - Libre de gluten","13042945",""
"27","Alco","Tomates cubeteados con albahaca","Tomate pelado cubeteado con agregado de jugo de tomates y albahaca - Libre de gluten","13034009",""
"27","La Campagnola","Arvejas frescas","Arvejas verdes medianas - Libre de gluten","13025859",""
"27","Marolio","Porotos manteca","Conserva de porotos secos remojados - Libre de gluten","13042828",""
"33","Átomo","Palmeritas","Galletitas dulces - Libre de gluten","13041899",""
"42","Great Value","Mermelada de durazno","Mermelada de durazno - Libre de gluten","13042717",""
"44","Ravioles de ricota y jamón cocido - Libre de gluten","Átomo","Pastas frescas rellenas: ravioles de ricota y jamón cocido - Libre de gluten","13041999",""
"21","Aldema","Premezcla para preparar chipás sabor cebolla. Libre de gluten","Premezcla para preparar chipás. Libre de gluten","14024885",""
"54","Disfrutarté","Té verde con cáscaras de naranjas, piel de mandarinas y flores de jazmín. ""Litoral en Flor"". Libre de gluten","Té verde en hebras. Libre de gluten","14024522",""
"55","Sinceridad","Yerba mate sinceridad sabor naranja","Yerba mate elaborada con palo saborizada con naranja libre de gluten. Sin T.A.C.C.","14025600",""
"14","Mamuschka","Bombones surtidos","Bombones surtidos libre de gluten","16009634",""
"43","Ruca Umel","Snack salado","Pan con grasa saborizado. Libres de gluten. Sin TACC","16007876",""
"27","Arcor","Pulpa de tomates","Pulpa de tomate libre de gluten","18003018",""
"13","Clight ","Sabor a frutos rojos","Polvo para preparar bebida analcohólica artificial dietética de bajas calorías sabor a frutilla, pomelo rosado y granada libre de gluten sin TACC","19009944",""
"23","Tío Yaco","Empanadas de jamón y queso","Comida preparada sobrecongelada: empanada cocida con relleno de jamón y queso - Libre de gluten sin TACC","19010224",""
"33","Tío Yaco","Galletitas obsesión","Galletitas dulces sabor chocolate y vainilla con relleno de frutilla y chocolate con aromatizante artificial - Libre de gluten - Sin TACC","19010219",""
"33","Tío Yaco","Marineras","Marineras libre de gluten sin tacc","19010223",""
"33","Tío Yaco","Marmoladas","Galletitas dulces sabor a vainilla y chocolate aromatizado con esencia de vainilla y chocolate - Libre de gluten - Sin TACC","19010249",""
"33","Tío Yaco","Naranjitas","Galletitas dulces sabor a naranja aromatizadas con esencia de naranja - Libre de gluten - Sin TACC","19010267",""
"33","Tío Yaco","Pecosas","Galletitas dulces aromatizado con vainilla con baño de repostería - Libre de gluten - Sin TACC","19010264",""
"33","Tío Yaco","Pepas rellenas con membrillo","Galletitas dulces aromatizadas con limón con relleno de dulce de membrillo libre de gluten sin TACC","19010271",""
"33","Tío Yaco","Pizzitas","Galletitas saladas con aromatizante/saborizante a pizza - Libre de gluten - Sin TACC, materia grasa 15,17%","19010221",""
"33","Tío Yaco","Quesitos","Galletitas saladas con queso aromatizadas con queso - Libre de gluten - Sin TACC","19010265",""
"33","Tío Yaco","Saladitas","Galletitas saladas libre de gluten sin TACC","19010227",""
"33","Tío Yaco","Surtidas especiales","Galletitas dulces surtidas sabor a chocolate, vainilla, limón, con coco, con nueces - Libre de gluten - Sin TACC","19010450",""
"33","Tío Yaco","Vainillas","Vainillas aromatizadas con esencia de vainilla - Libre de gluten - Sin TACC ","19010269",""
"36","La Blanquita","La Blanquita","Leche entera de cabra pasteurizada homogeneizada libre de gluten","19009063",""
"36","La Blanquita ","Sin registro","Leche entera de cabra esterilizada libre de gluten","19010350",""
"42","Arcor","Ciruela","Mermelada de ciruela libre de gluten","19002364-7",""
"42","Arcor","Ciruela light","Mermelada de ciruela reducida 47% en calorías libre de gluten","19004010-0",""
"42","Arcor","Damasco","Mermelada de damasco libre de gluten","19002365-5",""
"42","Arcor","Damasco light","Mermelada de damasco reducida 47% en calorías libre de gluten","19004009-6",""
"42","Arcor","Batata con sabor a chocolate","Dulce de batata con chocolate libre de gluten","19010333",""
"42","Arcor","Batata","Dulce de batata libre de gluten ","19010347",""
"42","Arcor","Durazno","Mermelada de durazno libre de gluten","19002366-3",""
